1511,3924,610,158.94,11399.15,515
791,2793,1626,37.49,7745.29,362
510,7488,2867,47,10033.17,258
1060,3315,186,67.2,9486.99,612
1644,13300,993,22.41,13241.52,202
1117,4514,1268,71.64,10588.14,496
985,2590,415,80.18,9487.3,523
779,2933,17941,15.87,12647.03,151
979,3813,11900,46.45,11768.24,415
584,5475,11148,35.15,9756.07,515
981,3067,34,24.15,7028.96,571
1590,2135,12273,59.07,12989.97,306
1150,4854,255,45.99,8989.53,585
625,4137,15724,15.43,11427.02,174
888,3407,13764,12.59,14843.52,158
1551,2769,1034,94.77,9743.53,685
794,1935,498,75.84,13086.4,455
1101,5546,760,95.78,11129.22,516
1485,1711,3022,43.78,14695.75,481
752,6165,13513,23.49,19017.18,204
1275,11382,18137,23.16,15427.26,186
1135,3187,6905,9.01,10488.65,103
703,7866,5323,29.34,15663.89,172
1133,4549,12291,18.21,16640.38,188
1087,3511,4756,83.6,13907.08,687
612,4251,3177,30.06,17248.1,256
1123,9112,1643,29.26,13765.41,359
1008,7021,17412,6.65,10280.78,195
566,9501,19904,22.19,10346.24,202
767,5416,19174,28.07,9337.37,393
567,6092,8985,14.1,6770.13,247
334,15101,7222,5.94,2205.18,241
962,3068,585,80.99,9055.14,563
705,4762,548,44.21,12960.1,327
1179,7533,3720,45.84,20002.29,644
619,2764,3443,31.23,9657.59,257
300,3047,1178,14,6417.02,136
409,8844,8152,14.26,7950.49,162
477,7624,11505,16.1,6623.12,239
618,4324,17270,28.04,9246.76,187
435,11125,24115,41.4,15715.67,203
716,12211,748,26.62,12355.35,347
834,7395,6477,9.83,12021.74,132
1545,5321,3308,71.47,14948.09,286
625,4952,90,6.37,19758.89,145
787,15230,1741,62.79,9348.85,535
1176,4582,2646,18.72,18060.33,237
258,5323,3344,44.63,5040.52,312
286,2822,520,125.55,3621.87,959
98,878,9970,5.04,1214,167
1135,4073,2858,113.63,13521.47,789
361,3323,1119,17.94,4698.23,155
840,3803,1157,40.19,7577.94,289
557,9659,21795,12.01,9481.98,176
545,18826.8,494,16.21,6167.91,187
1001,620,316,58.66,9184.58,785
180,1030,304,99.61,2626.03,1189
792,4366,35,32.02,13360.29,491
736,3298,861,66.2,6197.19,874
1080,2480,365,32.7,11607.44,606
798,3793,6185,52.12,7353.91,617
1003,4029,3036,36.59,11478.3,379
529,3060,2972,43.53,18329.4,181
955,5677,1967,102.78,12284.85,449
612,2832,482,109.08,3940.44,900
539,1914,2835,43.62,6357.85,1059
265,2101,5945,99.29,3532.67,763
852,1235,531,79.38,9554.5,564
1058,2635,598,88,9908.72,556
610,5457,25592,4.2,8397.77,218
749,1694,89,97.17,3644.03,1027
1059,2722,63,121.11,7907.28,532
753,5339,4634,52.31,13903.06,501
871,7237,2671,37.57,11408.42,248
1017,8765,40670,17.05,10154.92,183
587,7382,8704,41.01,10340.07,265
1022,5831,2817,77.01,13455.79,396
762,2613,1619,37.6,12640.27,411
501,8316,1650,67.25,8805.03,351
648,2660,802,48.88,11013.45,400
754,5317,1207,112.13,6172.4,531
654,5145,2350,35.66,9019.45,514
359,2611,1803,59.01,8467.05,444
827,1707,710,47.23,5432.67,673
1046,4428,685,146.06,6840.3,627
881,5884,2036,43.21,11489.8,201
853,8905,3941,59.77,10432.53,582
676,2903,549,35.16,9477.43,670
722,2688,3170,109.28,14197.49,331
807,11379,7426,189.9,6136.65,836
613,1647,135,78.87,4122.32,1082
768,4633,872,54.71,10984.52,368
243,887,30,53.28,4217.2,836
319,8650,9364,12.29,5499.89,238
665,3218,9161,105.17,6307.2,710
296,19719,7812,36.54,8694.13,373
575,4493,3317,76.02,5986.54,834
870,5880,1079,53.6,7784.91,1105
1126,16895,15687,16.16,9096.08,156
499,10732,3868,61.15,6483.2,308
